Date;Open;High;Low;Close;Adj Close;Volume
01/04/2011;68.588.000.000;69.387.000.000;68.588.000.000;69.268.000.000;69.268.000.000;2397400
04/04/2011;69.270.000.000;69.787.000.000;69.270.000.000;69.704.000.000;69.704.000.000;1200
05/04/2011;69.704.000.000;70.047.000.000;69.465.000.000;69.838.000.000;69.838.000.000;0
06/04/2011;69.841.000.000;70.108.000.000;68.954.000.000;69.037.000.000;69.037.000.000;0
07/04/2011;69.040.000.000;69.334.000.000;68.695.000.000;69.176.000.000;69.176.000.000;0
08/04/2011;69.180.000.000;69.430.000.000;68.472.000.000;68.718.000.000;68.718.000.000;2111400
11/04/2011;68.719.000.000;69.177.000.000;68.029.000.000;68.164.000.000;68.164.000.000;2173800
12/04/2011;68.153.000.000;68.153.000.000;66.721.000.000;66.896.000.000;66.896.000.000;2525800
13/04/2011;66.909.000.000;67.411.000.000;66.251.000.000;66.486.000.000;66.486.000.000;2515200
14/04/2011;66.483.000.000;67.042.000.000;66.090.000.000;66.279.000.000;66.279.000.000;2259000
15/04/2011;66.281.000.000;66.765.000.000;65.832.000.000;66.684.000.000;66.684.000.000;2145800
18/04/2011;66.689.000.000;66.706.000.000;65.158.000.000;65.415.000.000;65.415.000.000;3060400
19/04/2011;65.417.000.000;66.257.000.000;65.417.000.000;66.158.000.000;66.158.000.000;2214400
20/04/2011;66.165.000.000;67.077.000.000;66.165.000.000;67.058.000.000;67.058.000.000;2397400
25/04/2011;67.058.000.000;67.124.000.000;66.552.000.000;66.972.000.000;66.972.000.000;1385800
26/04/2011;66.972.000.000;67.413.000.000;66.722.000.000;67.144.000.000;67.144.000.000;1726600
27/04/2011;67.143.000.000;67.228.000.000;65.885.000.000;66.264.000.000;66.264.000.000;2151200
28/04/2011;66.249.000.000;66.249.000.000;65.105.000.000;65.673.000.000;65.673.000.000;3090000
29/04/2011;65.664.000.000;66.294.000.000;65.461.000.000;66.133.000.000;66.133.000.000;2645000
02/05/2011;66.119.000.000;66.500.000.000;65.346.000.000;65.463.000.000;65.463.000.000;2306800
03/05/2011;65.458.000.000;65.468.000.000;64.244.000.000;64.318.000.000;64.318.000.000;2235400
04/05/2011;64.320.000.000;64.807.000.000;63.548.000.000;63.616.000.000;63.616.000.000;2490000
05/05/2011;63.609.000.000;64.268.000.000;62.973.000.000;63.407.000.000;63.407.000.000;2806000
06/05/2011;63.422.000.000;64.704.000.000;63.422.000.000;64.417.000.000;64.417.000.000;2690000
09/05/2011;64.416.000.000;64.782.000.000;64.150.000.000;64.622.000.000;64.622.000.000;1880800
10/05/2011;64.622.000.000;65.143.000.000;64.619.000.000;64.877.000.000;64.877.000.000;1982600
11/05/2011;64.877.000.000;64.877.000.000;63.622.000.000;63.776.000.000;63.776.000.000;2458400
12/05/2011;63.772.000.000;64.329.000.000;63.125.000.000;64.003.000.000;64.003.000.000;2486800
13/05/2011;64.003.000.000;64.165.000.000;63.063.000.000;63.235.000.000;63.235.000.000;2667400
16/05/2011;63.233.000.000;63.829.000.000;62.676.000.000;62.830.000.000;62.830.000.000;2459600
17/05/2011;62.830.000.000;63.680.000.000;62.414.000.000;63.673.000.000;63.673.000.000;2210800
18/05/2011;63.675.000.000;64.015.000.000;62.830.000.000;62.841.000.000;62.841.000.000;2488000
19/05/2011;62.844.000.000;63.607.000.000;62.225.000.000;62.367.000.000;62.367.000.000;2291200
20/05/2011;62.370.000.000;63.043.000.000;62.086.000.000;62.597.000.000;62.597.000.000;2087000
23/05/2011;62.597.000.000;62.597.000.000;61.659.000.000;62.345.000.000;62.345.000.000;1767600
24/05/2011;62.350.000.000;63.415.000.000;62.350.000.000;63.337.000.000;63.337.000.000;2006400
25/05/2011;63.329.000.000;63.857.000.000;63.025.000.000;63.388.000.000;63.388.000.000;1918600
26/05/2011;63.389.000.000;64.121.000.000;63.232.000.000;64.099.000.000;64.099.000.000;2397000
27/05/2011;64.101.000.000;64.548.000.000;64.092.000.000;64.295.000.000;64.295.000.000;1672000
30/05/2011;64.295.000.000;64.460.000.000;63.915.000.000;63.954.000.000;63.954.000.000;629000
31/05/2011;63.961.000.000;64.620.000.000;63.932.000.000;64.620.000.000;64.620.000.000;2428400
01/06/2011;64.616.000.000;64.674.000.000;63.401.000.000;63.411.000.000;63.411.000.000;2158200
02/06/2011;63.411.000.000;64.218.000.000;63.277.000.000;64.218.000.000;64.218.000.000;2135600
03/06/2011;64.216.000.000;64.979.000.000;63.628.000.000;64.341.000.000;64.341.000.000;2155800
06/06/2011;64.341.000.000;64.512.000.000;62.960.000.000;63.068.000.000;63.068.000.000;1822400
07/06/2011;63.072.000.000;63.784.000.000;63.072.000.000;63.218.000.000;63.218.000.000;2089600
08/06/2011;63.204.000.000;63.354.000.000;62.709.000.000;63.033.000.000;63.033.000.000;1805800
09/06/2011;63.037.000.000;63.773.000.000;62.872.000.000;63.469.000.000;63.469.000.000;1946800
10/06/2011;63.470.000.000;63.478.000.000;62.495.000.000;62.697.000.000;62.697.000.000;1688200
13/06/2011;62.701.000.000;62.968.000.000;62.022.000.000;62.023.000.000;62.023.000.000;1397200
14/06/2011;62.023.000.000;62.697.000.000;62.023.000.000;62.205.000.000;62.205.000.000;1762400
15/06/2011;62.198.000.000;62.198.000.000;61.448.000.000;61.604.000.000;61.604.000.000;2668000
16/06/2011;61.602.000.000;62.040.000.000;60.489.000.000;60.881.000.000;60.881.000.000;1991000
17/06/2011;60.883.000.000;61.268.000.000;60.566.000.000;61.060.000.000;61.060.000.000;1974600
20/06/2011;61.059.000.000;61.571.000.000;60.784.000.000;61.168.000.000;61.168.000.000;2019800
21/06/2011;61.188.000.000;61.543.000.000;61.179.000.000;61.424.000.000;61.424.000.000;1696600
22/06/2011;61.420.000.000;61.859.000.000;61.194.000.000;61.194.000.000;61.194.000.000;1863400
24/06/2011;61.192.000.000;61.459.000.000;60.921.000.000;61.017.000.000;61.017.000.000;1449000
27/06/2011;61.017.000.000;61.456.000.000;60.772.000.000;61.217.000.000;61.217.000.000;1634000
28/06/2011;61.216.000.000;62.309.000.000;61.216.000.000;62.303.000.000;62.303.000.000;1796400
29/06/2011;62.303.000.000;62.625.000.000;62.033.000.000;62.334.000.000;62.334.000.000;1873400
30/06/2011;62.337.000.000;62.574.000.000;61.959.000.000;62.404.000.000;62.404.000.000;1814000
01/07/2011;62.404.000.000;63.455.000.000;62.148.000.000;63.394.000.000;63.394.000.000;2376200
04/07/2011;63.397.000.000;63.891.000.000;63.314.000.000;63.891.000.000;63.891.000.000;1000400
05/07/2011;63.886.000.000;63.886.000.000;63.030.000.000;63.039.000.000;63.039.000.000;1937800
06/07/2011;63.039.000.000;63.039.000.000;62.391.000.000;62.565.000.000;62.565.000.000;1612600
07/07/2011;62.573.000.000;63.206.000.000;62.207.000.000;62.207.000.000;62.207.000.000;1865000
08/07/2011;62.207.000.000;62.207.000.000;61.366.000.000;61.513.000.000;61.513.000.000;1670600
