TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
AALR3;10,20;0,85;65,05;0,93;0,46;24,40;10,06;1,77;11,45;16,84;5,39;0,44;1,15;-85,25;-0,60;0,98;1,43;0,71;4,36;0,49;0,51;0,40;8,93;;5.231.393,18
ABCB4;14,00;7,50;6,24;0,76;0,06;4,20;2,22;8,62;24,19;24,19;;;0,54;105,14;-0,22;1,00;12,10;1,00;;0,08;0,92;0,12;0,06;5,06;10.578.054,58
ABEV3;12,55;3,91;18,54;2,74;1,74;57,74;28,59;20,26;13,14;12,49;-0,65;-0,14;3,76;33,65;-2,39;1,23;14,77;9,37;19,35;0,63;0,37;0,46;2,40;-1,10;348.133.814,75
ADHM3;2,34;;-2,84;-0,89;73,13;100,00;-13.548,48;-18.860,61;-3,96;-3,96;0,00;;536,26;-0,99;-80,81;0,00;31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;434.553,75
AFLT3;8,16;1,29;20,82;2,34;2,23;64,59;63,12;63,86;21,06;18,74;-2,32;-0,26;13,29;6,62;-3,44;23,21;11,23;10,71;10,08;0,95;0,05;0,17;7,09;14,86;42.725,77
AGRO3;19,90;4,67;13,80;1,12;0,64;35,39;26,42;17,94;9,37;13,51;4,14;0,49;2,48;4,53;-0,90;1,96;8,12;4,63;6,97;0,57;0,43;0,26;8,20;-0,42;3.228.745,00
AHEB3;19,99;;-6,73;6,28;0,65;28,11;-15,63;-16,95;-7,29;;1,16;-1,00;1,14;-9,78;-0,77;0,71;-93,28;-9,67;-86,06;0,10;0,90;0,57;-10,01;;4.766,00
AHEB5;19,95;;-6,71;6,26;0,65;28,11;-15,63;-16,95;-7,28;;1,16;-1,00;1,14;-9,76;-0,77;0,71;-93,28;-9,67;-86,06;0,10;0,90;0,57;-10,01;;2.899,50
AHEB6;80,00;;-26,92;25,11;2,60;28,11;-15,63;-16,95;-29,18;;1,16;-1,00;4,56;-39,15;-3,10;0,71;-93,28;-9,67;-86,06;0,10;0,90;0,57;-10,01;;
ALPA3;21,25;0,24;52,25;4,36;2,38;51,19;8,15;6,80;43,56;46,21;-1,11;-0,11;3,55;9,24;-5,73;1,79;8,35;4,55;6,00;0,55;0,45;0,67;-1,67;-0,30;49.446,97
