Date;Value
04/04/2011;100.0
06/04/2011;99.84
07/04/2011;99.66
08/04/2011;98.91
11/04/2011;98.35
12/04/2011;96.92
13/04/2011;97.65
14/04/2011;97.11
15/04/2011;96.17
18/04/2011;96.65
19/04/2011;96.55
20/04/2011;98.06
25/04/2011;98.59
26/04/2011;99.61
27/04/2011;98.9
28/04/2011;98.31
29/04/2011;99.62
02/05/2011;96.08
03/05/2011;94.64
04/05/2011;94.79
05/05/2011;95.83
06/05/2011;97.2
09/05/2011;97.77
09/05/2011;97.77
11/05/2011;98.03
12/05/2011;99.08
13/05/2011;97.58
13/05/2011;97.58
17/05/2011;98.13
18/05/2011;96.99
19/05/2011;97.38
20/05/2011;97.54
23/05/2011;97.31
24/05/2011;98.2
25/05/2011;97.61
26/05/2011;98.78
27/05/2011;98.85
30/05/2011;98.48
31/05/2011;98.54
01/06/2011;97.65
02/06/2011;97.21
03/06/2011;98.42
06/06/2011;97.73
07/06/2011;99.04
08/06/2011;98.75
09/06/2011;97.96
10/06/2011;97.21
13/06/2011;97.75
14/06/2011;98.31
15/06/2011;97.81
16/06/2011;95.79
17/06/2011;96.76
20/06/2011;97.18
21/06/2011;97.45
22/06/2011;97.2
24/06/2011;97.48
27/06/2011;97.12
28/06/2011;98.72
29/06/2011;98.88
30/06/2011;99.65
01/07/2011;100.36
04/07/2011;100.18
05/07/2011;100.41
06/07/2011;99.48
07/07/2011;97.83
08/07/2011;96.94
11/07/2011;95.22
12/07/2011;94.83
13/07/2011;95.97
14/07/2011;94.85
15/07/2011;94.68
18/07/2011;93.39
19/07/2011;93.48
20/07/2011;93.68
21/07/2011;94.42
22/07/2011;93.71
25/07/2011;93.56
26/07/2011;92.56
27/07/2011;91.59
28/07/2011;92.99
29/07/2011;91.76
01/08/2011;92.38
02/08/2011;91.2
03/08/2011;89.97
04/08/2011;88.48
05/08/2011;87.37
08/08/2011;85.55
09/08/2011;87.11
10/08/2011;86.44
11/08/2011;88.36
12/08/2011;87.78
15/08/2011;88.71
16/08/2011;88.48
17/08/2011;88.9
18/08/2011;88.96
19/08/2011;88.73
22/08/2011;88.61
23/08/2011;88.79
24/08/2011;89.4
25/08/2011;88.5
26/08/2011;88.9
29/08/2011;89.25
30/08/2011;89.06
31/08/2011;89.86
01/09/2011;90.04
02/09/2011;89.52
05/09/2011;87.82
06/09/2011;88.21
08/09/2011;89.0
09/09/2011;89.02
12/09/2011;88.79
13/09/2011;89.02
14/09/2011;89.02
15/09/2011;88.11
16/09/2011;88.67
19/09/2011;88.73
20/09/2011;88.61
21/09/2011;88.54
22/09/2011;87.3
23/09/2011;88.73
26/09/2011;88.25
27/09/2011;88.48
28/09/2011;88.27
29/09/2011;88.17
30/09/2011;88.36
03/10/2011;88.19
04/10/2011;88.34
05/10/2011;89.56
06/10/2011;89.77
07/10/2011;88.99
10/10/2011;92.69
11/10/2011;92.63
13/10/2011;93.51
14/10/2011;94.42
17/10/2011;93.1
